ref:

wavelength (nm)	spectral irradiance (W/m^2/nm)
7.740000000e+02	1.231481403e+00
7.750000000e+02	1.228842550e+00
7.760000000e+02	1.226206862e+00
7.770000000e+02	1.223574365e+00
7.780000000e+02	1.220945085e+00
7.790000000e+02	1.218319049e+00
7.800000000e+02	1.215696284e+00
7.810000000e+02	1.213076815e+00
7.820000000e+02	1.210460666e+00
7.830000000e+02	1.207847864e+00
7.840000000e+02	1.205238432e+00
7.850000000e+02	1.202632395e+00
7.860000000e+02	1.200029777e+00
7.870000000e+02	1.197430601e+00
7.880000000e+02	1.194834889e+00
7.890000000e+02	1.192242666e+00
7.900000000e+02	1.189653953e+00
7.910000000e+02	1.187068772e+00
7.920000000e+02	1.184487146e+00
7.930000000e+02	1.181909095e+00
7.940000000e+02	1.179334640e+00
7.950000000e+02	1.176763803e+00
7.960000000e+02	1.174196604e+00
7.970000000e+02	1.171633063e+00
7.980000000e+02	1.169073199e+00
7.990000000e+02	1.166517032e+00
8.000000000e+02	1.163964582e+00
8.010000000e+02	1.161415867e+00
8.020000000e+02	1.158870906e+00
8.030000000e+02	1.156329716e+00
8.040000000e+02	1.153792316e+00
8.050000000e+02	1.151258724e+00
8.060000000e+02	1.148728956e+00
8.070000000e+02	1.146203030e+00
8.080000000e+02	1.143680963e+00
8.090000000e+02	1.141162771e+00
8.100000000e+02	1.138648470e+00
8.110000000e+02	1.136138076e+00
8.120000000e+02	1.133631604e+00
8.130000000e+02	1.131129071e+00
8.140000000e+02	1.128630490e+00
8.150000000e+02	1.126135878e+00
8.160000000e+02	1.123645248e+00
8.170000000e+02	1.121158614e+00
8.180000000e+02	1.118675991e+00
8.190000000e+02	1.116197392e+00
8.200000000e+02	1.113722831e+00
8.210000000e+02	1.111252321e+00
8.220000000e+02	1.108785875e+00
8.230000000e+02	1.106323506e+00
8.240000000e+02	1.103865226e+00
8.250000000e+02	1.101411047e+00
8.260000000e+02	1.098960981e+00
8.270000000e+02	1.096515041e+00
8.280000000e+02	1.094073237e+00
8.290000000e+02	1.091635581e+00
8.300000000e+02	1.089202083e+00
8.310000000e+02	1.086772755e+00
8.320000000e+02	1.084347608e+00
8.330000000e+02	1.081926650e+00
8.340000000e+02	1.079509894e+00
8.350000000e+02	1.077097347e+00
8.360000000e+02	1.074689021e+00
8.370000000e+02	1.072284925e+00
8.380000000e+02	1.069885067e+00
8.390000000e+02	1.067489457e+00
8.400000000e+02	1.065098103e+00
8.410000000e+02	1.062711015e+00
8.420000000e+02	1.060328201e+00
8.430000000e+02	1.057949668e+00
8.440000000e+02	1.055575424e+00
8.450000000e+02	1.053205479e+00
8.460000000e+02	1.050839838e+00
8.470000000e+02	1.048478510e+00
8.480000000e+02	1.046121501e+00
8.490000000e+02	1.043768820e+00
8.500000000e+02	1.041420471e+00
8.510000000e+02	1.039076463e+00
8.520000000e+02	1.036736801e+00
8.530000000e+02	1.034401492e+00
8.540000000e+02	1.032070541e+00
8.550000000e+02	1.029743956e+00
8.560000000e+02	1.027421740e+00
8.570000000e+02	1.025103901e+00
8.580000000e+02	1.022790443e+00
8.590000000e+02	1.020481371e+00
8.600000000e+02	1.018176690e+00
8.610000000e+02	1.015876406e+00
8.620000000e+02	1.013580522e+00
8.630000000e+02	1.011289044e+00
8.640000000e+02	1.009001976e+00
8.650000000e+02	1.006719321e+00
8.660000000e+02	1.004441085e+00
8.670000000e+02	1.002167270e+00
8.680000000e+02	9.998978802e-01
8.690000000e+02	9.976329197e-01
8.700000000e+02	9.953723914e-01
8.710000000e+02	9.931162987e-01
8.720000000e+02	9.908646446e-01
8.730000000e+02	9.886174320e-01
8.740000000e+02	9.863746638e-01
8.750000000e+02	9.841363425e-01
8.760000000e+02	9.819024707e-01
8.770000000e+02	9.796730507e-01
8.780000000e+02	9.774480846e-01
8.790000000e+02	9.752275746e-01
8.800000000e+02	9.730115226e-01
8.810000000e+02	9.707999304e-01
8.820000000e+02	9.685927996e-01
8.830000000e+02	9.663901317e-01
8.840000000e+02	9.641919282e-01
8.850000000e+02	9.619981903e-01
8.860000000e+02	9.598089191e-01
8.870000000e+02	9.576241156e-01
8.880000000e+02	9.554437807e-01
8.890000000e+02	9.532679152e-01
8.900000000e+02	9.510965196e-01
8.910000000e+02	9.489295945e-01
8.920000000e+02	9.467671403e-01
8.930000000e+02	9.446091572e-01
8.940000000e+02	9.424556453e-01
8.950000000e+02	9.403066048e-01
8.960000000e+02	9.381620355e-01
8.970000000e+02	9.360219372e-01
8.980000000e+02	9.338863096e-01
8.990000000e+02	9.317551522e-01
9.000000000e+02	9.296284646e-01
9.010000000e+02	9.275062462e-01
9.020000000e+02	9.253884960e-01
9.030000000e+02	9.232752134e-01
9.040000000e+02	9.211663973e-01
9.050000000e+02	9.190620467e-01
9.060000000e+02	9.169621604e-01
9.070000000e+02	9.148667372e-01
9.080000000e+02	9.127757756e-01
9.090000000e+02	9.106892742e-01
9.100000000e+02	9.086072314e-01
9.110000000e+02	9.065296457e-01
9.120000000e+02	9.044565151e-01
9.130000000e+02	9.023878379e-01
9.140000000e+02	9.003236122e-01
9.150000000e+02	8.982638358e-01
9.160000000e+02	8.962085067e-01
9.170000000e+02	8.941576227e-01
9.180000000e+02	8.921111814e-01
9.190000000e+02	8.900691805e-01
9.200000000e+02	8.880316174e-01
9.210000000e+02	8.859984896e-01
9.220000000e+02	8.839697945e-01
9.230000000e+02	8.819455294e-01
9.240000000e+02	8.799256913e-01
9.250000000e+02	8.779102775e-01
9.260000000e+02	8.758992849e-01
9.270000000e+02	8.738927105e-01
9.280000000e+02	8.718905512e-01
9.290000000e+02	8.698928037e-01
9.300000000e+02	8.678994648e-01
9.310000000e+02	8.659105311e-01
9.320000000e+02	8.639259991e-01
9.330000000e+02	8.619458654e-01
9.340000000e+02	8.599701264e-01
9.350000000e+02	8.579987784e-01
9.360000000e+02	8.560318177e-01
9.370000000e+02	8.540692406e-01
9.380000000e+02	8.521110430e-01
9.390000000e+02	8.501572212e-01
9.400000000e+02	8.482077711e-01
9.410000000e+02	8.462626887e-01
9.420000000e+02	8.443219698e-01
9.430000000e+02	8.423856102e-01
9.440000000e+02	8.404536057e-01
9.450000000e+02	8.385259520e-01
9.460000000e+02	8.366026447e-01
9.470000000e+02	8.346836794e-01
9.480000000e+02	8.327690515e-01
9.490000000e+02	8.308587564e-01
9.500000000e+02	8.289527897e-01
9.510000000e+02	8.270511466e-01
9.520000000e+02	8.251538223e-01
9.530000000e+02	8.232608121e-01
9.540000000e+02	8.213721112e-01
9.550000000e+02	8.194877145e-01
9.560000000e+02	8.176076173e-01
9.570000000e+02	8.157318145e-01
9.580000000e+02	8.138603010e-01
9.590000000e+02	8.119930717e-01
9.600000000e+02	8.101301215e-01
9.610000000e+02	8.082714451e-01
9.620000000e+02	8.064170374e-01
9.630000000e+02	8.045668929e-01
9.640000000e+02	8.027210064e-01
9.650000000e+02	8.008793724e-01
9.660000000e+02	7.990419855e-01
9.670000000e+02	7.972088402e-01
9.680000000e+02	7.953799309e-01
9.690000000e+02	7.935552522e-01
9.700000000e+02	7.917347983e-01
9.710000000e+02	7.899185635e-01
9.720000000e+02	7.881065423e-01
9.730000000e+02	7.862987287e-01
9.740000000e+02	7.844951171e-01
9.750000000e+02	7.826957016e-01
9.760000000e+02	7.809004763e-01
9.770000000e+02	7.791094353e-01
9.780000000e+02	7.773225727e-01
9.790000000e+02	7.755398824e-01
9.800000000e+02	7.737613584e-01
9.810000000e+02	7.719869947e-01
9.820000000e+02	7.702167852e-01
9.830000000e+02	7.684507237e-01
9.840000000e+02	7.666888041e-01
9.850000000e+02	7.649310201e-01
9.860000000e+02	7.631773655e-01
9.870000000e+02	7.614278341e-01
9.880000000e+02	7.596824196e-01
9.890000000e+02	7.579411155e-01
9.900000000e+02	7.562039156e-01
9.910000000e+02	7.544708134e-01
9.920000000e+02	7.527418025e-01
9.930000000e+02	7.510168764e-01
9.940000000e+02	7.492960287e-01
9.950000000e+02	7.475792528e-01
9.960000000e+02	7.458665422e-01
9.970000000e+02	7.441578904e-01
9.980000000e+02	7.424532906e-01
9.990000000e+02	7.407527363e-01
1.000000000e+03	7.390562209e-01
1.001000000e+03	7.373637375e-01
1.002000000e+03	7.356752797e-01
1.003000000e+03	7.339908405e-01
1.004000000e+03	7.323104132e-01
1.005000000e+03	7.306339911e-01
1.006000000e+03	7.289615674e-01
1.007000000e+03	7.272931352e-01
1.008000000e+03	7.256286877e-01
1.009000000e+03	7.239682180e-01
1.010000000e+03	7.223117192e-01
1.011000000e+03	7.206591844e-01
1.012000000e+03	7.190106067e-01
1.013000000e+03	7.173659791e-01
1.014000000e+03	7.157252946e-01
1.015000000e+03	7.140885463e-01
1.016000000e+03	7.124557270e-01
1.017000000e+03	7.108268299e-01
1.018000000e+03	7.092018477e-01
1.019000000e+03	7.075807736e-01
1.020000000e+03	7.059636003e-01
1.021000000e+03	7.043503207e-01
