ref: simulated example

wavelength (nm)	n	k
4.470000e+02	1.470653e+00	4.040182e-02
4.480000e+02	1.470442e+00	4.021779e-02
4.490000e+02	1.470233e+00	4.004063e-02
4.500000e+02	1.470027e+00	3.986781e-02
4.510000e+02	1.469821e+00	3.969864e-02
4.520000e+02	1.469619e+00	3.953652e-02
4.530000e+02	1.469418e+00	3.937708e-02
4.540000e+02	1.469220e+00	3.922319e-02
4.550000e+02	1.469023e+00	3.907372e-02
4.560000e+02	1.468828e+00	3.892714e-02
4.570000e+02	1.468637e+00	3.878717e-02
4.580000e+02	1.468446e+00	3.864940e-02
4.590000e+02	1.468258e+00	3.851678e-02
4.600000e+02	1.468071e+00	3.838787e-02
4.610000e+02	1.467887e+00	3.826193e-02
4.620000e+02	1.467705e+00	3.814147e-02
4.630000e+02	1.467524e+00	3.802280e-02
4.640000e+02	1.467346e+00	3.790962e-02
4.650000e+02	1.467170e+00	3.779885e-02
4.660000e+02	1.466995e+00	3.769177e-02
4.670000e+02	1.466823e+00	3.758852e-02
4.680000e+02	1.466652e+00	3.748736e-02
4.690000e+02	1.466485e+00	3.739130e-02
4.700000e+02	1.466318e+00	3.729653e-02
4.710000e+02	1.466154e+00	3.720669e-02
4.720000e+02	1.465991e+00	3.711863e-02
4.730000e+02	1.465830e+00	3.703421e-02
4.740000e+02	1.465671e+00	3.695256e-02
4.750000e+02	1.465514e+00	3.687339e-02
4.760000e+02	1.465360e+00	3.679786e-02
4.770000e+02	1.465206e+00	3.672379e-02
4.780000e+02	1.465055e+00	3.665409e-02
4.790000e+02	1.464905e+00	3.658517e-02
4.800000e+02	1.464758e+00	3.652085e-02
4.810000e+02	1.464612e+00	3.645739e-02
4.820000e+02	1.464468e+00	3.639772e-02
4.830000e+02	1.464326e+00	3.633948e-02
4.840000e+02	1.464186e+00	3.628433e-02
4.850000e+02	1.464047e+00	3.623106e-02
4.860000e+02	1.463910e+00	3.618029e-02
4.870000e+02	1.463776e+00	3.613177e-02
4.880000e+02	1.463642e+00	3.608525e-02
4.890000e+02	1.463511e+00	3.604126e-02
4.900000e+02	1.463381e+00	3.599886e-02
4.910000e+02	1.463253e+00	3.595920e-02
4.920000e+02	1.463126e+00	3.592080e-02
4.930000e+02	1.463002e+00	3.588525e-02
4.940000e+02	1.462879e+00	3.585073e-02
4.950000e+02	1.462758e+00	3.581912e-02
4.960000e+02	1.462638e+00	3.578835e-02
4.970000e+02	1.462520e+00	3.576049e-02
4.980000e+02	1.462404e+00	3.573335e-02
4.990000e+02	1.462289e+00	3.570907e-02
5.000000e+02	1.462176e+00	3.568546e-02
5.010000e+02	1.462065e+00	3.566458e-02
5.020000e+02	1.461955e+00	3.564438e-02
5.030000e+02	1.461847e+00	3.562675e-02
5.040000e+02	1.461740e+00	3.560986e-02
5.050000e+02	1.461635e+00	3.559532e-02
5.060000e+02	1.461532e+00	3.558163e-02
5.070000e+02	1.461430e+00	3.557003e-02
5.080000e+02	1.461329e+00	3.555944e-02
5.090000e+02	1.461231e+00	3.555065e-02
5.100000e+02	1.461133e+00	3.554305e-02
5.110000e+02	1.461038e+00	3.553692e-02
5.120000e+02	1.460943e+00	3.553223e-02
5.130000e+02	1.460850e+00	3.552864e-02
5.140000e+02	1.460759e+00	3.552674e-02
5.150000e+02	1.460669e+00	3.552556e-02
5.160000e+02	1.460581e+00	3.552637e-02
5.170000e+02	1.460494e+00	3.552749e-02
5.180000e+02	1.460409e+00	3.553090e-02
5.190000e+02	1.460324e+00	3.553431e-02
5.200000e+02	1.460243e+00	3.554015e-02
5.210000e+02	1.460161e+00	3.554607e-02
5.220000e+02	1.460082e+00	3.555389e-02
5.230000e+02	1.460003e+00	3.556225e-02
5.240000e+02	1.459926e+00	3.557196e-02
5.250000e+02	1.459851e+00	3.558265e-02
5.260000e+02	1.459777e+00	3.559415e-02
5.270000e+02	1.459704e+00	3.560709e-02
5.280000e+02	1.459632e+00	3.562030e-02
5.290000e+02	1.459563e+00	3.563540e-02
5.300000e+02	1.459494e+00	3.565050e-02
5.310000e+02	1.459427e+00	3.566741e-02
5.320000e+02	1.459361e+00	3.568459e-02
5.330000e+02	1.459296e+00	3.570296e-02
5.340000e+02	1.459233e+00	3.572213e-02
5.350000e+02	1.459170e+00	3.574187e-02
5.360000e+02	1.459110e+00	3.576295e-02
5.370000e+02	1.459050e+00	3.578403e-02
5.380000e+02	1.458993e+00	3.580692e-02
5.390000e+02	1.458935e+00	3.582983e-02
5.400000e+02	1.458880e+00	3.585388e-02
5.410000e+02	1.458826e+00	3.587854e-02
5.420000e+02	1.458772e+00	3.590369e-02
5.430000e+02	1.458721e+00	3.593002e-02
5.440000e+02	1.458669e+00	3.595635e-02
5.450000e+02	1.458621e+00	3.598414e-02
5.460000e+02	1.458572e+00	3.601206e-02
5.470000e+02	1.458525e+00	3.604077e-02
5.480000e+02	1.458480e+00	3.607021e-02
5.490000e+02	1.458434e+00	3.609979e-02
5.500000e+02	1.458392e+00	3.613066e-02
5.510000e+02	1.458349e+00	3.616153e-02
5.520000e+02	1.458308e+00	3.619330e-02
5.530000e+02	1.458269e+00	3.622553e-02
5.540000e+02	1.458229e+00	3.625802e-02
5.550000e+02	1.458192e+00	3.629153e-02
5.560000e+02	1.458155e+00	3.632504e-02
5.570000e+02	1.458121e+00	3.635943e-02
5.580000e+02	1.458086e+00	3.639415e-02
5.590000e+02	1.458053e+00	3.642911e-02
5.600000e+02	1.458022e+00	3.646497e-02
5.610000e+02	1.457990e+00	3.650083e-02
5.620000e+02	1.457961e+00	3.653742e-02
5.630000e+02	1.457933e+00	3.657434e-02
5.640000e+02	1.457904e+00	3.661139e-02
5.650000e+02	1.457879e+00	3.664930e-02
5.660000e+02	1.457853e+00	3.668721e-02
5.670000e+02	1.457829e+00	3.672563e-02
5.680000e+02	1.457806e+00	3.676446e-02
5.690000e+02	1.457783e+00	3.680329e-02
5.700000e+02	1.457763e+00	3.684293e-02
5.710000e+02	1.457742e+00	3.688260e-02
5.720000e+02	1.457723e+00	3.692254e-02
5.730000e+02	1.457705e+00	3.696298e-02
5.740000e+02	1.457688e+00	3.700343e-02
5.750000e+02	1.457672e+00	3.704437e-02
5.760000e+02	1.457657e+00	3.708552e-02
5.770000e+02	1.457643e+00	3.712669e-02
5.780000e+02	1.457630e+00	3.716847e-02
5.790000e+02	1.457618e+00	3.721026e-02
5.800000e+02	1.457607e+00	3.725223e-02
5.810000e+02	1.457597e+00	3.729458e-02
5.820000e+02	1.457588e+00	3.733694e-02
5.830000e+02	1.457580e+00	3.737959e-02
5.840000e+02	1.457573e+00	3.742244e-02
5.850000e+02	1.457566e+00	3.746528e-02
5.860000e+02	1.457561e+00	3.750850e-02
5.870000e+02	1.457557e+00	3.755178e-02
5.880000e+02	1.457553e+00	3.759508e-02
5.890000e+02	1.457551e+00	3.763872e-02
5.900000e+02	1.457549e+00	3.768236e-02
5.910000e+02	1.457548e+00	3.772608e-02
5.920000e+02	1.457549e+00	3.777001e-02
5.930000e+02	1.457549e+00	3.781394e-02
5.940000e+02	1.457551e+00	3.785797e-02
5.950000e+02	1.457554e+00	3.790213e-02
5.960000e+02	1.457558e+00	3.794629e-02
5.970000e+02	1.457562e+00	3.799054e-02
5.980000e+02	1.457568e+00	3.803486e-02
5.990000e+02	1.457574e+00	3.807917e-02
6.000000e+02	1.457581e+00	3.812356e-02
6.010000e+02	1.457589e+00	3.816797e-02
6.020000e+02	1.457597e+00	3.821238e-02
6.030000e+02	1.457607e+00	3.825682e-02
6.040000e+02	1.457618e+00	3.830126e-02
6.050000e+02	1.457628e+00	3.834571e-02
6.060000e+02	1.457641e+00	3.839012e-02
6.070000e+02	1.457654e+00	3.843453e-02
6.080000e+02	1.457667e+00	3.847893e-02
6.090000e+02	1.457682e+00	3.852325e-02
6.100000e+02	1.457697e+00	3.856756e-02
6.110000e+02	1.457712e+00	3.861187e-02
6.120000e+02	1.457730e+00	3.865604e-02
6.130000e+02	1.457747e+00	3.870019e-02
6.140000e+02	1.457765e+00	3.874434e-02
6.150000e+02	1.457784e+00	3.878829e-02
6.160000e+02	1.457804e+00	3.883221e-02
6.170000e+02	1.457824e+00	3.887614e-02
6.180000e+02	1.457846e+00	3.891983e-02
6.190000e+02	1.457868e+00	3.896347e-02
6.200000e+02	1.457890e+00	3.900712e-02
6.210000e+02	1.457913e+00	3.905050e-02
6.220000e+02	1.457937e+00	3.909380e-02
6.230000e+02	1.457962e+00	3.913710e-02
6.240000e+02	1.457987e+00	3.918014e-02
6.250000e+02	1.458014e+00	3.922304e-02
6.260000e+02	1.458040e+00	3.926593e-02
6.270000e+02	1.458067e+00	3.930860e-02
6.280000e+02	1.458096e+00	3.935103e-02
6.290000e+02	1.458124e+00	3.939346e-02
6.300000e+02	1.458153e+00	3.943574e-02
6.310000e+02	1.458184e+00	3.947765e-02
6.320000e+02	1.458214e+00	3.951956e-02
6.330000e+02	1.458245e+00	3.956142e-02
6.340000e+02	1.458278e+00	3.960275e-02
6.350000e+02	1.458310e+00	3.964408e-02
6.360000e+02	1.458343e+00	3.968542e-02
6.370000e+02	1.458377e+00	3.972621e-02
6.380000e+02	1.458412e+00	3.976691e-02
6.390000e+02	1.458446e+00	3.980761e-02
6.400000e+02	1.458482e+00	3.984793e-02
6.410000e+02	1.458518e+00	3.988794e-02
6.420000e+02	1.458555e+00	3.992795e-02
6.430000e+02	1.458592e+00	3.996777e-02
6.440000e+02	1.458630e+00	4.000705e-02
6.450000e+02	1.458668e+00	4.004632e-02
6.460000e+02	1.458707e+00	4.008559e-02
6.470000e+02	1.458747e+00	4.012414e-02
6.480000e+02	1.458787e+00	4.016262e-02
6.490000e+02	1.458827e+00	4.020110e-02
6.500000e+02	1.458868e+00	4.023914e-02
6.510000e+02	1.458910e+00	4.027677e-02
6.520000e+02	1.458952e+00	4.031441e-02
6.530000e+02	1.458994e+00	4.035195e-02
6.540000e+02	1.459038e+00	4.038869e-02
6.550000e+02	1.459081e+00	4.042543e-02
6.560000e+02	1.459125e+00	4.046217e-02
6.570000e+02	1.459170e+00	4.049830e-02
6.580000e+02	1.459215e+00	4.053410e-02
