ref: simulated example

wavelength (nm)	n	k
4.300000e+02	1.473678e+00	2.473632e-02
4.310000e+02	1.473371e+00	2.458386e-02
4.320000e+02	1.473065e+00	2.443599e-02
4.330000e+02	1.472761e+00	2.429288e-02
4.340000e+02	1.472458e+00	2.415277e-02
4.350000e+02	1.472156e+00	2.401717e-02
4.360000e+02	1.471856e+00	2.388601e-02
4.370000e+02	1.471557e+00	2.375763e-02
4.380000e+02	1.471259e+00	2.363398e-02
4.390000e+02	1.470963e+00	2.351419e-02
4.400000e+02	1.470667e+00	2.339701e-02
4.410000e+02	1.470373e+00	2.328499e-02
4.420000e+02	1.470080e+00	2.317608e-02
4.430000e+02	1.469788e+00	2.306980e-02
4.440000e+02	1.469497e+00	2.296899e-02
4.450000e+02	1.469207e+00	2.287050e-02
4.460000e+02	1.468918e+00	2.277552e-02
4.470000e+02	1.468630e+00	2.268489e-02
4.480000e+02	1.468343e+00	2.259642e-02
4.490000e+02	1.468056e+00	2.251258e-02
4.500000e+02	1.467771e+00	2.243176e-02
4.510000e+02	1.467486e+00	2.235345e-02
4.520000e+02	1.467202e+00	2.228016e-02
4.530000e+02	1.466919e+00	2.220881e-02
4.540000e+02	1.466637e+00	2.214151e-02
4.550000e+02	1.466355e+00	2.207753e-02
4.560000e+02	1.466073e+00	2.201573e-02
4.570000e+02	1.465793e+00	2.195906e-02
4.580000e+02	1.465513e+00	2.190414e-02
4.590000e+02	1.465234e+00	2.185335e-02
4.600000e+02	1.464955e+00	2.180562e-02
4.610000e+02	1.464676e+00	2.176035e-02
4.620000e+02	1.464398e+00	2.171979e-02
4.630000e+02	1.464121e+00	2.168078e-02
4.640000e+02	1.463844e+00	2.164666e-02
4.650000e+02	1.463567e+00	2.161476e-02
4.660000e+02	1.463291e+00	2.158627e-02
4.670000e+02	1.463015e+00	2.156146e-02
4.680000e+02	1.462739e+00	2.153867e-02
4.690000e+02	1.462463e+00	2.152098e-02
4.700000e+02	1.462188e+00	2.150460e-02
4.710000e+02	1.461913e+00	2.149339e-02
4.720000e+02	1.461638e+00	2.148412e-02
4.730000e+02	1.461364e+00	2.147882e-02
4.740000e+02	1.461089e+00	2.147670e-02
4.750000e+02	1.460815e+00	2.147742e-02
4.760000e+02	1.460541e+00	2.148250e-02
4.770000e+02	1.460267e+00	2.148934e-02
4.780000e+02	1.459993e+00	2.150171e-02
4.790000e+02	1.459719e+00	2.151506e-02
4.800000e+02	1.459445e+00	2.153452e-02
4.810000e+02	1.459171e+00	2.155520e-02
4.820000e+02	1.458897e+00	2.158119e-02
4.830000e+02	1.458623e+00	2.160929e-02
4.840000e+02	1.458349e+00	2.164197e-02
4.850000e+02	1.458074e+00	2.167760e-02
4.860000e+02	1.457800e+00	2.171714e-02
4.870000e+02	1.457526e+00	2.176043e-02
4.880000e+02	1.457252e+00	2.180704e-02
4.890000e+02	1.456977e+00	2.185812e-02
4.900000e+02	1.456703e+00	2.191201e-02
4.910000e+02	1.456428e+00	2.197103e-02
4.920000e+02	1.456153e+00	2.203243e-02
4.930000e+02	1.455878e+00	2.209955e-02
4.940000e+02	1.455603e+00	2.216871e-02
4.950000e+02	1.455327e+00	2.224411e-02
4.960000e+02	1.455052e+00	2.232130e-02
4.970000e+02	1.454776e+00	2.240516e-02
4.980000e+02	1.454500e+00	2.249068e-02
4.990000e+02	1.454224e+00	2.258318e-02
5.000000e+02	1.453948e+00	2.267735e-02
5.010000e+02	1.453672e+00	2.277870e-02
5.020000e+02	1.453395e+00	2.288186e-02
5.030000e+02	1.453119e+00	2.299226e-02
5.040000e+02	1.452842e+00	2.310478e-02
5.050000e+02	1.452565e+00	2.322445e-02
5.060000e+02	1.452288e+00	2.334674e-02
5.070000e+02	1.452011e+00	2.347589e-02
5.080000e+02	1.451734e+00	2.360837e-02
5.090000e+02	1.451457e+00	2.374723e-02
5.100000e+02	1.451179e+00	2.389037e-02
5.110000e+02	1.450902e+00	2.403915e-02
5.120000e+02	1.450625e+00	2.419344e-02
5.130000e+02	1.450348e+00	2.435236e-02
5.140000e+02	1.450071e+00	2.451834e-02
5.150000e+02	1.449794e+00	2.468762e-02
5.160000e+02	1.449517e+00	2.486584e-02
5.170000e+02	1.449241e+00	2.504568e-02
5.180000e+02	1.448965e+00	2.523676e-02
5.190000e+02	1.448689e+00	2.542785e-02
5.200000e+02	1.448413e+00	2.563194e-02
5.210000e+02	1.448138e+00	2.583654e-02
5.220000e+02	1.447864e+00	2.605224e-02
5.230000e+02	1.447590e+00	2.627104e-02
5.240000e+02	1.447317e+00	2.649853e-02
5.250000e+02	1.447045e+00	2.673227e-02
5.260000e+02	1.446773e+00	2.697173e-02
5.270000e+02	1.446503e+00	2.722118e-02
5.280000e+02	1.446233e+00	2.747274e-02
5.290000e+02	1.445965e+00	2.773872e-02
5.300000e+02	1.445697e+00	2.800471e-02
5.310000e+02	1.445432e+00	2.828586e-02
5.320000e+02	1.445168e+00	2.856925e-02
5.330000e+02	1.444906e+00	2.886356e-02
5.340000e+02	1.444645e+00	2.916525e-02
5.350000e+02	1.444386e+00	2.947275e-02
5.360000e+02	1.444131e+00	2.979370e-02
5.370000e+02	1.443875e+00	3.011465e-02
5.380000e+02	1.443625e+00	3.045556e-02
5.390000e+02	1.443375e+00	3.079673e-02
5.400000e+02	1.443130e+00	3.115175e-02
5.410000e+02	1.442887e+00	3.151416e-02
5.420000e+02	1.442647e+00	3.188317e-02
5.430000e+02	1.442413e+00	3.226783e-02
5.440000e+02	1.442179e+00	3.265248e-02
5.450000e+02	1.441953e+00	3.305857e-02
5.460000e+02	1.441729e+00	3.346650e-02
5.470000e+02	1.441511e+00	3.388716e-02
5.480000e+02	1.441298e+00	3.431937e-02
5.490000e+02	1.441087e+00	3.475426e-02
5.500000e+02	1.440888e+00	3.521172e-02
5.510000e+02	1.440689e+00	3.566917e-02
5.520000e+02	1.440500e+00	3.614406e-02
5.530000e+02	1.440317e+00	3.662767e-02
5.540000e+02	1.440138e+00	3.711681e-02
5.550000e+02	1.439973e+00	3.762736e-02
5.560000e+02	1.439808e+00	3.813791e-02
5.570000e+02	1.439659e+00	3.866839e-02
5.580000e+02	1.439516e+00	3.920654e-02
5.590000e+02	1.439378e+00	3.975075e-02
5.600000e+02	1.439260e+00	4.031693e-02
5.610000e+02	1.439141e+00	4.088312e-02
5.620000e+02	1.439042e+00	4.146871e-02
5.630000e+02	1.438952e+00	4.206311e-02
5.640000e+02	1.438866e+00	4.266134e-02
5.650000e+02	1.438807e+00	4.328377e-02
5.660000e+02	1.438749e+00	4.390621e-02
5.670000e+02	1.438712e+00	4.454404e-02
5.680000e+02	1.438690e+00	4.519389e-02
5.690000e+02	1.438668e+00	4.584375e-02
5.700000e+02	1.438687e+00	4.651888e-02
5.710000e+02	1.438706e+00	4.719498e-02
5.720000e+02	1.438741e+00	4.787941e-02
5.730000e+02	1.438807e+00	4.857993e-02
5.740000e+02	1.438873e+00	4.928044e-02
5.750000e+02	1.438974e+00	4.999610e-02
5.760000e+02	1.439092e+00	5.071840e-02
5.770000e+02	1.439210e+00	5.144114e-02
5.780000e+02	1.439384e+00	5.218169e-02
5.790000e+02	1.439558e+00	5.292225e-02
5.800000e+02	1.439752e+00	5.366727e-02
5.810000e+02	1.439988e+00	5.442147e-02
5.820000e+02	1.440224e+00	5.517568e-02
5.830000e+02	1.440501e+00	5.593466e-02
5.840000e+02	1.440805e+00	5.669675e-02
5.850000e+02	1.441108e+00	5.745884e-02
5.860000e+02	1.441473e+00	5.822169e-02
5.870000e+02	1.441849e+00	5.898465e-02
5.880000e+02	1.442231e+00	5.974699e-02
5.890000e+02	1.442682e+00	6.050252e-02
5.900000e+02	1.443134e+00	6.125806e-02
5.910000e+02	1.443608e+00	6.200874e-02
5.920000e+02	1.444138e+00	6.274728e-02
5.930000e+02	1.444669e+00	6.348581e-02
5.940000e+02	1.445236e+00	6.421161e-02
5.950000e+02	1.445847e+00	6.492242e-02
5.960000e+02	1.446458e+00	6.563322e-02
5.970000e+02	1.447118e+00	6.632016e-02
5.980000e+02	1.447810e+00	6.699157e-02
5.990000e+02	1.448501e+00	6.766298e-02
6.000000e+02	1.449249e+00	6.829694e-02
6.010000e+02	1.450019e+00	6.891667e-02
6.020000e+02	1.450788e+00	6.953640e-02
6.030000e+02	1.451618e+00	7.010384e-02
6.040000e+02	1.452461e+00	7.065945e-02
6.050000e+02	1.453304e+00	7.121507e-02
6.060000e+02	1.454205e+00	7.170381e-02
6.070000e+02	1.455114e+00	7.218327e-02
6.080000e+02	1.456023e+00	7.266272e-02
6.090000e+02	1.456983e+00	7.306269e-02
6.100000e+02	1.457949e+00	7.345497e-02
6.110000e+02	1.458914e+00	7.384725e-02
6.120000e+02	1.459920e+00	7.415109e-02
6.130000e+02	1.460930e+00	7.444685e-02
6.140000e+02	1.461940e+00	7.474261e-02
6.150000e+02	1.462977e+00	7.494607e-02
6.160000e+02	1.464017e+00	7.513824e-02
6.170000e+02	1.465056e+00	7.533042e-02
6.180000e+02	1.466109e+00	7.543245e-02
6.190000e+02	1.467163e+00	7.551677e-02
6.200000e+02	1.468218e+00	7.560109e-02
6.210000e+02	1.469271e+00	7.560367e-02
6.220000e+02	1.470324e+00	7.557899e-02
6.230000e+02	1.471377e+00	7.555431e-02
6.240000e+02	1.472418e+00	7.546193e-02
