ref: simulated example

wavelength (nm)	n	k
4.930000e+02	2.145598e+00	4.619101e-03
4.940000e+02	2.145411e+00	4.628874e-03
4.950000e+02	2.145224e+00	4.638650e-03
4.960000e+02	2.145036e+00	4.648426e-03
4.970000e+02	2.144849e+00	4.658206e-03
4.980000e+02	2.144661e+00	4.667986e-03
4.990000e+02	2.144474e+00	4.677769e-03
5.000000e+02	2.144286e+00	4.687552e-03
5.010000e+02	2.144099e+00	4.697339e-03
5.020000e+02	2.143911e+00	4.707126e-03
5.030000e+02	2.143724e+00	4.716915e-03
5.040000e+02	2.143536e+00	4.726706e-03
5.050000e+02	2.143349e+00	4.736499e-03
5.060000e+02	2.143161e+00	4.746294e-03
5.070000e+02	2.142974e+00	4.756090e-03
5.080000e+02	2.142786e+00	4.765888e-03
5.090000e+02	2.142598e+00	4.775688e-03
5.100000e+02	2.142411e+00	4.785490e-03
5.110000e+02	2.142223e+00	4.795293e-03
5.120000e+02	2.142035e+00	4.805098e-03
5.130000e+02	2.141848e+00	4.814905e-03
5.140000e+02	2.141660e+00	4.824714e-03
5.150000e+02	2.141472e+00	4.834523e-03
5.160000e+02	2.141285e+00	4.844336e-03
5.170000e+02	2.141097e+00	4.854149e-03
5.180000e+02	2.140909e+00	4.863966e-03
5.190000e+02	2.140721e+00	4.873782e-03
5.200000e+02	2.140533e+00	4.883602e-03
5.210000e+02	2.140346e+00	4.893422e-03
5.220000e+02	2.140158e+00	4.903246e-03
5.230000e+02	2.139970e+00	4.913070e-03
5.240000e+02	2.139782e+00	4.922896e-03
5.250000e+02	2.139594e+00	4.932724e-03
5.260000e+02	2.139406e+00	4.942554e-03
5.270000e+02	2.139218e+00	4.952386e-03
5.280000e+02	2.139030e+00	4.962218e-03
5.290000e+02	2.138842e+00	4.972054e-03
5.300000e+02	2.138655e+00	4.981890e-03
5.310000e+02	2.138467e+00	4.991729e-03
5.320000e+02	2.138279e+00	5.001569e-03
5.330000e+02	2.138091e+00	5.011411e-03
5.340000e+02	2.137902e+00	5.021255e-03
5.350000e+02	2.137714e+00	5.031100e-03
5.360000e+02	2.137526e+00	5.040949e-03
5.370000e+02	2.137338e+00	5.050797e-03
5.380000e+02	2.137150e+00	5.060649e-03
5.390000e+02	2.136962e+00	5.070501e-03
5.400000e+02	2.136774e+00	5.080356e-03
5.410000e+02	2.136586e+00	5.090212e-03
5.420000e+02	2.136398e+00	5.100070e-03
5.430000e+02	2.136209e+00	5.109930e-03
5.440000e+02	2.136021e+00	5.119791e-03
5.450000e+02	2.135833e+00	5.129655e-03
5.460000e+02	2.135645e+00	5.139520e-03
5.470000e+02	2.135457e+00	5.149387e-03
5.480000e+02	2.135268e+00	5.159256e-03
5.490000e+02	2.135080e+00	5.169125e-03
5.500000e+02	2.134892e+00	5.178999e-03
5.510000e+02	2.134703e+00	5.188872e-03
5.520000e+02	2.134515e+00	5.198748e-03
5.530000e+02	2.134327e+00	5.208626e-03
5.540000e+02	2.134138e+00	5.218505e-03
5.550000e+02	2.133950e+00	5.228387e-03
5.560000e+02	2.133762e+00	5.238269e-03
5.570000e+02	2.133573e+00	5.248154e-03
5.580000e+02	2.133385e+00	5.258041e-03
5.590000e+02	2.133196e+00	5.267928e-03
5.600000e+02	2.133008e+00	5.277820e-03
5.610000e+02	2.132819e+00	5.287711e-03
5.620000e+02	2.132631e+00	5.297605e-03
5.630000e+02	2.132442e+00	5.307501e-03
5.640000e+02	2.132254e+00	5.317397e-03
5.650000e+02	2.132065e+00	5.327297e-03
5.660000e+02	2.131877e+00	5.337197e-03
5.670000e+02	2.131688e+00	5.347100e-03
5.680000e+02	2.131500e+00	5.357005e-03
5.690000e+02	2.131311e+00	5.366910e-03
5.700000e+02	2.131122e+00	5.376819e-03
5.710000e+02	2.130934e+00	5.386729e-03
5.720000e+02	2.130745e+00	5.396640e-03
5.730000e+02	2.130556e+00	5.406554e-03
5.740000e+02	2.130368e+00	5.416469e-03
5.750000e+02	2.130179e+00	5.426386e-03
5.760000e+02	2.129990e+00	5.436305e-03
5.770000e+02	2.129802e+00	5.446225e-03
5.780000e+02	2.129613e+00	5.456148e-03
5.790000e+02	2.129424e+00	5.466072e-03
5.800000e+02	2.129235e+00	5.475998e-03
5.810000e+02	2.129046e+00	5.485927e-03
5.820000e+02	2.128858e+00	5.495855e-03
5.830000e+02	2.128669e+00	5.505787e-03
5.840000e+02	2.128480e+00	5.515721e-03
5.850000e+02	2.128291e+00	5.525655e-03
5.860000e+02	2.128102e+00	5.535593e-03
5.870000e+02	2.127913e+00	5.545531e-03
5.880000e+02	2.127724e+00	5.555471e-03
5.890000e+02	2.127535e+00	5.565414e-03
5.900000e+02	2.127346e+00	5.575358e-03
5.910000e+02	2.127157e+00	5.585303e-03
5.920000e+02	2.126968e+00	5.595252e-03
5.930000e+02	2.126779e+00	5.605201e-03
5.940000e+02	2.126590e+00	5.615152e-03
5.950000e+02	2.126401e+00	5.625106e-03
5.960000e+02	2.126212e+00	5.635060e-03
5.970000e+02	2.126023e+00	5.645018e-03
5.980000e+02	2.125834e+00	5.654977e-03
5.990000e+02	2.125645e+00	5.664936e-03
6.000000e+02	2.125456e+00	5.674899e-03
6.010000e+02	2.125267e+00	5.684863e-03
6.020000e+02	2.125078e+00	5.694828e-03
6.030000e+02	2.124888e+00	5.704797e-03
6.040000e+02	2.124699e+00	5.714767e-03
6.050000e+02	2.124510e+00	5.724736e-03
6.060000e+02	2.124321e+00	5.734711e-03
6.070000e+02	2.124131e+00	5.744686e-03
6.080000e+02	2.123942e+00	5.754661e-03
6.090000e+02	2.123753e+00	5.764641e-03
6.100000e+02	2.123564e+00	5.774622e-03
6.110000e+02	2.123374e+00	5.784603e-03
6.120000e+02	2.123185e+00	5.794588e-03
6.130000e+02	2.122996e+00	5.804574e-03
6.140000e+02	2.122806e+00	5.814560e-03
6.150000e+02	2.122617e+00	5.824552e-03
6.160000e+02	2.122427e+00	5.834543e-03
6.170000e+02	2.122238e+00	5.844535e-03
6.180000e+02	2.122049e+00	5.854531e-03
6.190000e+02	2.121859e+00	5.864529e-03
6.200000e+02	2.121670e+00	5.874526e-03
6.210000e+02	2.121480e+00	5.884527e-03
6.220000e+02	2.121291e+00	5.894530e-03
6.230000e+02	2.121101e+00	5.904533e-03
6.240000e+02	2.120912e+00	5.914540e-03
6.250000e+02	2.120722e+00	5.924549e-03
6.260000e+02	2.120533e+00	5.934557e-03
6.270000e+02	2.120343e+00	5.944569e-03
6.280000e+02	2.120153e+00	5.954583e-03
6.290000e+02	2.119964e+00	5.964598e-03
6.300000e+02	2.119774e+00	5.974614e-03
6.310000e+02	2.119584e+00	5.984635e-03
6.320000e+02	2.119395e+00	5.994655e-03
6.330000e+02	2.119205e+00	6.004676e-03
6.340000e+02	2.119015e+00	6.014702e-03
6.350000e+02	2.118826e+00	6.024729e-03
6.360000e+02	2.118636e+00	6.034755e-03
6.370000e+02	2.118446e+00	6.044787e-03
6.380000e+02	2.118256e+00	6.054819e-03
6.390000e+02	2.118067e+00	6.064851e-03
6.400000e+02	2.117877e+00	6.074887e-03
6.410000e+02	2.117687e+00	6.084926e-03
6.420000e+02	2.117497e+00	6.094964e-03
6.430000e+02	2.117307e+00	6.105004e-03
6.440000e+02	2.117117e+00	6.115049e-03
6.450000e+02	2.116928e+00	6.125094e-03
6.460000e+02	2.116738e+00	6.135138e-03
6.470000e+02	2.116548e+00	6.145188e-03
6.480000e+02	2.116358e+00	6.155239e-03
6.490000e+02	2.116168e+00	6.165290e-03
6.500000e+02	2.115978e+00	6.175344e-03
6.510000e+02	2.115788e+00	6.185402e-03
6.520000e+02	2.115598e+00	6.195459e-03
6.530000e+02	2.115408e+00	6.205517e-03
6.540000e+02	2.115218e+00	6.215580e-03
6.550000e+02	2.115028e+00	6.225644e-03
6.560000e+02	2.114838e+00	6.235707e-03
6.570000e+02	2.114648e+00	6.245775e-03
6.580000e+02	2.114458e+00	6.255845e-03
6.590000e+02	2.114267e+00	6.265915e-03
6.600000e+02	2.114077e+00	6.275986e-03
6.610000e+02	2.113887e+00	6.286063e-03
6.620000e+02	2.113697e+00	6.296139e-03
6.630000e+02	2.113507e+00	6.306216e-03
6.640000e+02	2.113316e+00	6.316297e-03
6.650000e+02	2.113126e+00	6.326380e-03
6.660000e+02	2.112936e+00	6.336463e-03
